business_id,business_name,business_address,business_city,business_latitude,business_longitude,business_location
7764,YASUKOCHI'S SWEET SHOP,1790 SUTTER St,San Francisco,37.78659,-122.429815,POINT (-122.429815 37.78659)
37482,Bursa,60 West Portal Ave.,San Francisco,37.740144,-122.466569,POINT (-122.466569 37.740144)
10373,El Tonayense #1,1717 Harrison St,San Francisco,37.769426,-122.413446,POINT (-122.413446 37.769426)
101430,IZAKAYA MAYUMI,2221 CLEMENT ST,San Francisco,,,
5869,VISITACION VALLEY ELEMENTARY SCHOOL,55 SCHWERIN St,San Francisco,,,
39295,Warfield Theatre/F & B Associates,982 Market St,San Francisco,37.782583,-122.409919,POINT (-122.409919 37.782583)
33920,Lalita Thai Restaurant & Bar,96 McAllister St,San Francisco,37.780989,-122.413686,POINT (-122.413686 37.780989)
36348,El Tepa,2198 Folsom St,San Francisco,37.762217,-122.415035,POINT (-122.415035 37.762217)
1289,ORPHAN ANDY'S,3991 A 17th St,San Francisco,37.758132,-122.435614,POINT (-122.435614 37.758132)
4868,NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES St,San Francisco,37.776524,-122.425607,POINT (-122.425607 37.776524)
409,EL FARO,82 01st St,San Francisco,37.788613,-122.393894,POINT (-122.393894 37.788613)
35565,Daldas Market,200 Eddy St,San Francisco,37.784148,-122.411224,POINT (-122.411224 37.784148)
60518,Ninki Sushi Bar & Restaurant,1439 TARAVAL St,San Francisco,37.742743,-122.481749,POINT (-122.481749 37.742743)
64454,Sushirrito,59 New Montgomery St,San Francisco,37.787925,-122.400953,POINT (-122.400953 37.787925)
60355,Taqueria Castillo B,86 McAllister St,San Francisco,37.780994,-122.413637,POINT (-122.413637 37.780994)
510,Donut Time,2401 Noriega St,San Francisco,37.753633,-122.48954,POINT (-122.48954 37.753633)
73,Santino's Vino,2101 Fillmore St,San Francisco,37.788932,-122.433895,POINT (-122.433895 37.788932)
7772,LA REYNA BAKERY,3114 24th St,San Francisco,37.752549,-122.414425,POINT (-122.414425 37.752549)
59934,Ted's Sports Bar & Grill,312 HARRIET St,San Francisco,37.775357,-122.402758,POINT (-122.402758 37.775357)
59044,Taqueria Cazadores,1600 C Mission St,San Francisco,37.749851,-122.415121,POINT (-122.415121 37.749851)
2841,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",599 SKYLINE Blvd,San Francisco,37.708887,-122.497934,POINT (-122.497934 37.708887)
3046,Mollie Stone's Grand Central Market,2435 CALIFORNIA St,San Francisco,37.788773,-122.434697,POINT (-122.434697 37.788773)
3838,CAFE PICARO,3120 16th St,San Francisco,37.764908,-122.422442,POINT (-122.422442 37.764908)
2995,CAFE ROCCO,1131 FOLSOM St,San Francisco,37.776127,-122.408602,POINT (-122.408602 37.776127)
38258,Hong Kong Bakery,4711 MISSION St,San Francisco,37.722898,-122.436086,POINT (-122.436086 37.722898)
6636,STARBUCKS,1390 MARKET St,San Francisco,37.777053,-122.416939,POINT (-122.416939 37.777053)
17947,Um Ma Son,5850 GEARY BLVD,San Francisco,37.780278,-122.482311,POINT (-122.482311 37.780278)
30532,Roadhouse Cafe,5191 03rd St,San Francisco,37.730959,-122.39194,POINT (-122.39194 37.730959)
786,Piperade,1015 Battery St,San Francisco,37.800674,-122.401484,POINT (-122.401484 37.800674)
63503,Mason Street Deli and Market,39 MASON,San Francisco,37.784094,-122.409274,POINT (-122.409274 37.784094)
1300,WE BE SUSHI,1071 VALENCIA St,San Francisco,37.755824,-122.420986,POINT (-122.420986 37.755824)
4608,Gourmet Kitchen,1051 Stockton St,San Francisco,37.795594,-122.408204,POINT (-122.408204 37.795594)
1742,McAllister Grocery & Deli,136 McAllister St,San Francisco,37.780916,-122.414312,POINT (-122.414312 37.780916)
34411,Gabby's Market & Deli,201 Harrison St C,San Francisco,37.787808,-122.390703,POINT (-122.390703 37.787808)
4844,SAFEWAY #909,730 TARAVAL,San Francisco,37.743191,-122.473903,POINT (-122.473903 37.743191)
786,Piperade,1015 Battery St,San Francisco,37.800674,-122.401484,POINT (-122.401484 37.800674)
985,The Sunset's Best Seafood Restaurant,3060 TARAVAL St,San Francisco,37.742048,-122.499002,POINT (-122.499002 37.742048)
58745,San Francisco Tennis Club,645 05th St,San Francisco,37.776109,-122.398082,POINT (-122.398082 37.776109)
2919,OMNI S.F. Hotel - Restaurant & Bar,"500 California St, 1st Floor",San Francisco,37.792888,-122.403135,POINT (-122.403135 37.792888)
3006,Local Roots Leidesdorff,70 Leidesdorff St,San Francisco,37.791275,-122.40201,POINT (-122.40201 37.791275)
557,TASTEBUDS,600 05th Ave,San Francisco,37.77721,-122.462874,POINT (-122.462874 37.77721)
6677,SNACK & BOTTLE SHOP,644 PERSIA Ave,San Francisco,37.720524,-122.430562,POINT (-122.430562 37.720524)
1664,PANDA EXPRESS,865 MARKET St C24,San Francisco,37.784317,-122.407563,POINT (-122.407563 37.784317)
3796,Johnny Foley's Irish House,243 O'Farrell St,San Francisco,37.786314,-122.408697,POINT (-122.408697 37.786314)
61514,Foods Co #357,1800 FOLSOM St,San Francisco,37.767907,-122.415584,POINT (-122.415584 37.767907)
37879,Cafe Mystique,464 CASTRO St,San Francisco,,,
6739,Jamie Supermarket,1135 Stockton St,San Francisco,37.796303,-122.408354,POINT (-122.408354 37.796303)
5267,Knights Catering,255 MENDELL STREET,San Francisco,37.741939,-122.383872,POINT (-122.383872 37.741939)
1582,Caffe Bianco,39 Sutter St,San Francisco,37.790102,-122.401158,POINT (-122.401158 37.790102)
